,region_id2,calBP,mean_kde,lo10_kde,hi90_kde,StKDE,StKDE_lo,StKDE_hi,PeriodID
3358,Coastal Texas (2),3040,0.00323516096113194,0.00237328164598861,0.00416212118416143,0.16841127041458,0.0886553665178344,0.254189579703452,Late Archaic
3359,Coastal Texas (2),3010,0.00331895400960272,0.00240208572258499,0.00432803744592664,0.176165245018251,0.0913208152929605,0.269543007028776,Late Archaic
3360,Coastal Texas (2),2980,0.00334843868144829,0.00235360837160923,0.00432889986259371,0.178893674176284,0.0868348566701477,0.269622812657719,Late Archaic
3361,Coastal Texas (2),2950,0.0033329860171178,0.00236848685682871,0.00442782855877442,0.177463727790941,0.0882116701247046,0.278777397814351,Late Archaic
3362,Coastal Texas (2),2920,0.00333165662479558,0.00241791720375259,0.00435099612294215,0.177340709539512,0.0927858163300683,0.271667538857622,Late Archaic
3363,Coastal Texas (2),2890,0.00342281177932084,0.00254996090839201,0.00432357330104852,0.185775952869142,0.105004771852444,0.269129907533726,Late Archaic
3364,Coastal Texas (2),2860,0.00365801556959992,0.0029009741702905,0.00437243992942835,0.207541054506985,0.137486558444345,0.273651888799945,Late Archaic
3365,Coastal Texas (2),2830,0.00403816763462562,0.00332456802225347,0.00470812393456013,0.242719264532013,0.17668475006447,0.304715148797677,Late Archaic
3366,Coastal Texas (2),2800,0.00452144543574817,0.00370315731132169,0.00534424468859599,0.287440442061782,0.21171834516849,0.36357998617595,Late Archaic
3367,Coastal Texas (2),2770,0.00503650399726118,0.00412205742674511,0.00606890685227504,0.335102522368694,0.250482191522652,0.430638198234773,Late Archaic
3368,Coastal Texas (2),2740,0.00547628074326825,0.00424884330062088,0.0066564582308278,0.375798233791737,0.262214602075537,0.485008561299422,Late Archaic
3369,Coastal Texas (2),2710,0.00573572324085943,0.00433717043803773,0.00707627399919476,0.399806317685911,0.270388148602897,0.523857139618819,Late Archaic
3370,Coastal Texas (2),2680,0.00580023267924508,0.00440898970334191,0.00740709108417368,0.405775840887036,0.2770341027648,0.554470028422854,Late Archaic
3371,Coastal Texas (2),2650,0.00577351211243742,0.00437283910157061,0.00733025816523106,0.403303194286829,0.273688827074778,0.547360124760442,Late Archaic
3372,Coastal Texas (2),2620,0.00577287403274032,0.00414585752713735,0.00730011578105684,0.403244148174333,0.252684586320003,0.544570832741039,Late Archaic
3373,Coastal Texas (2),2590,0.00581087211967664,0.00427072442300707,0.00735941951518402,0.406760384980003,0.264239420009467,0.550058634613833,Late Archaic
3374,Coastal Texas (2),2560,0.00581577265643496,0.00428228959199698,0.00725470932051073,0.407213866960452,0.265309628436915,0.540369045739103,Late Archaic
3375,Coastal Texas (2),2530,0.00571179951907293,0.00433951904357794,0.00710666337243689,0.397592483310109,0.270605481998031,0.526669287316526,Late Archaic
3376,Coastal Texas (2),2500,0.00546830229916217,0.00416251770550566,0.00694362354097173,0.375059930864413,0.254226272680842,0.511582036814969,Late Archaic
3377,Coastal Texas (2),2470,0.00512434071455039,0.00367859297713379,0.0065404625529618,0.343230686787582,0.209445230310812,0.474274645339529,Late Archaic
