"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region"
200142,"AA-22521",1225,50,"bone",,34,"Chancellorsland, site C",-8.3569,52.4735,"Ireland"
200143,"AA-22522",1450,50,"bone",,34,"Chancellorsland, site C",-8.3569,52.4735,"Ireland"
215498,"AA-22906",3750,50,"charcoal","Betula",1282,"Littleour",-3.346,56.5469,"Scotland"
215499,"AA-22907",3620,50,"charcoal","Pinus",1282,"Littleour",-3.346,56.5469,"Scotland"
200144,"AA-22910",2075,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200145,"AA-22911",1905,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200146,"AA-22912",1945,50,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200147,"AA-22913",1880,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200148,"AA-22914",1905,50,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200149,"AA-22915",2055,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
215500,"AA-22916",2435,50,"grain (charred)","Hordeum vulgare",325,"Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200150,"AA-22917",1775,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200151,"AA-23258",1775,45,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
56544,"AA-23259",3405,55,"bone","Homo sapiens",1351,"Mains of Melgund, Aberlemno",-2.7592,56.6961,"Scotland"
56545,"AA-23260",3500,50,"bone","Homo sapiens",1351,"Mains of Melgund, Aberlemno",-2.7592,56.6961,"Scotland"
56562,"AA-23261",3300,50,"bone","Homo sapiens",1402,"West Scryne, Carnustie",-2.6973,56.5249,"Scotland"
200152,"AA-23264",3095,45,"charcoal","Alnus",1467,"Linga Fold",-3.2835,59.0184,"Scotland"
200153,"AA-23265",3135,45,"charcoal","Corylus avellana",1467,"Linga Fold",-3.2835,59.0184,"Scotland"
200154,"AA-23266",3035,45,"charcoal","Quercus",1467,"Linga Fold",-3.2835,59.0184,"Scotland"
200155,"AA-23723",1595,60,"grain (charred)","Hordeum vulgare",1581,"Traigh Na Berie, Lewis",-6.9334,58.2098,"Scotland"
200156,"AA-23724",1650,55,"charcoal","Pomoideae",1581,"Traigh Na Berie, Lewis",-6.9334,58.2098,"Scotland"
200157,"AA-24947",2095,45,"charcoal","Alnus",1647,"Loch Shurrery",-3.6429,58.4888,"Scotland"
200158,"AA-24948",2090,45,"charcoal","Alnus",1647,"Loch Shurrery",-3.6429,58.4888,"Scotland"
200159,"AA-24949",1865,45,"grain (charred)","Hordeum vulgare",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200160,"AA-24950",1740,40,"charcoal","Alnus,Pomoideae,Corylus avellana",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200161,"AA-24951",1840,40,"charcoal","Alnus",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200162,"AA-24952",1935,40,"grain","Hordeum vulgare",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200163,"AA-24953",1825,40,"charcoal","Alnus",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200164,"AA-24954",2175,45,"charcoal",,1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200165,"AA-24955",1825,45,"charcoal","Corylus avellana",1654,"Woodend, Johnstonebridge, Annandale",-3.4088,55.2427,"Scotland"
200166,"AA-24956",3580,45,"charcoal","Pomoideae",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200167,"AA-24957",3495,45,"charcoal","Calluna vulgaris",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200168,"AA-24958",4065,45,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200169,"AA-24959",4140,45,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200170,"AA-24960",4205,50,"charcoal","Corylus avellana",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200171,"AA-24961",4055,50,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200172,"AA-24962",3555,50,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200173,"AA-24963",4115,45,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200174,"AA-24964",4185,45,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200175,"AA-24965",4385,50,"charcoal","Corylus avellana",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200176,"AA-24966",4210,50,"charcoal","Betula",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200177,"AA-24967",4050,45,"charcoal","Corylus avellana",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200178,"AA-24968",3575,45,"charcoal","Salix",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200179,"AA-24969",4095,45,"charcoal","Salix",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
200180,"AA-24970",4205,45,"charcoal","Corylus avellana",1655,"Callanish, Lewis",-6.7451,58.1976,"Scotland"
215501,"AA-25202",8275,65,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215502,"AA-25203",8340,60,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215503,"AA-25204",8505,75,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215504,"AA-25205",8405,60,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215505,"AA-25206",8355,60,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215506,"AA-25207",8420,65,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215507,"AA-25208",8510,70,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215508,"AA-25209",8475,75,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
215509,"AA-25210",8410,60,"nutshell (charred)","Corylus avellana",1656,"Fife Ness",-2.5886,56.2767,"Scotland"
