"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"150897","TO-6319",10030,90,"Shell",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020","Llagostera et al 1997","shcal20"
"150898","TO-6320",9800,80,"shell",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR","Llagostera A. Weisner R. Castillo G. Cervellino M. & Costa-Junquiera M. (2000). El complejo Huentelauquen bajo una perspectiva macroespacial y multidisciplinaria. Contribuciones Arqueologicas Museo Regional de Atacama 5 461-480.","shcal20"
"150899","TO-6325",10280,50,"Shell",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020","Stothers 1977; Smith and Crawford 1997; Smith 1997; Smith and Ormerod 1997","shcal20"
"150905","TO-6526",9460,90,"charcoal",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR","Llagostera et al 1997","shcal20"
"150906","TO-6527",9260,90,"charcoal",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR","Llagostera et al 1997","shcal20"
"150907","TO-6528",9910,90,"charcoal",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR","Llagostera et al 1997","shcal20"
"150908","TO-6530",7100,80,"Charcoal",NA,NA,NA,-70.389404,-23.473323,1,NA,NA,"La Chimba 13","Chile",NA,"South America","Pratesetal2020; SCAR",NA,"shcal20"
"152226","TX-9278",1150,50,"Charcoal",NA,NA,NA,-70.9,-17.1,1,NA,NA,"Cerro Baul","Peru",NA,"South America","SCAR","Williams et al 2001","shcal20"
"152227","TX-9279",1150,50,"Charcoal",NA,NA,NA,-70.9,-17.1,1,NA,NA,"Cerro Baul","Peru",NA,"South America","SCAR","Williams et al 2001","shcal20"
"152294","To-3573",2040,50,"plant",NA,NA,NA,-69.358333,-21.002778,2,NA,NA,"Ramaditas","Chile",NA,"South America","Goldberg_2016","Meiklejohn Portugal","shcal20"
"152683","Tx-1819A",540,110,"apatite","human",NA,"Radiometric",-66.133406,-17.373218,3,NA,NA,"Mesadilla","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Valastro et al. 1977:321","shcal20"
"152684","Tx-1819B",380,200,"collagen","human",NA,"Radiometric",-66.133406,-17.373218,3,NA,NA,"Mesadilla","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Valastro et al. 1977:321","shcal20"
"153556","Tx-9280",1070,50,"Charcoal",NA,NA,NA,-70.9,-17.1,1,NA,NA,"Cerro Baul","Peru",NA,"South America","SCAR","Williams et al 2001","shcal20"
"153557","Tx-9281",900,40,"Charcoal",NA,NA,NA,-70.9,-17.1,1,NA,NA,"Cerro Baul","Peru",NA,"South America","SCAR","Emerson et al. 2009 Archaic Societies: Diversity and Complexity across the Midcontinent","shcal20"
"153615","U-2455",3910,80,"shell",NA,NA,NA,-76.767,-12.433,2,NA,NA,"Quipa/Chilca Village 304","Peru",NA,"South America","Goldberg_2016","Ziolkowski et al 1994","shcal20"
